title,description,island,venue,date,end_date,price,category,source_url,image_url,status,id,created_by,created_at,updated_at
SOCA & FRIENDS - Summer Opening Soca Day Party,,Other,Brixton Storeys,2026-04-18 17:00:00.000000,,,Music,https://www.universe.com/events/soca-friends-summer-opening-soca-day-party-tickets-08RKBF?ref=ticketmaster,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_EVENT_DETAIL_PAGE_16_9.jpg,published,1,,2026-04-12 19:48:32.444550,2026-04-12 19:48:32.444878
Kes: Roots Rock Soca Tour,"No Bags Security measures are in place with bag checks on arrival. Only one small bag per person is permitted and it must not be bigger than A4 size. Large bags - including rucksacks - are not allowed. If you're coming to the show with bags bigger than A4, pre-book and drop them off with our partner Stasher before the show, find out more and book here.",Trinidad,O2 Academy Brixton,2026-05-02 18:00:00.000000,,,Music,https://www.ticketmaster.co.uk/kes-roots-rock-soca-tour-london-02-05-2026/event/3E0064370A818605,https://s1.ticketm.net/dam/a/428/4ec6a513-11b0-4af8-aa4c-5918f7372428_TABLET_LANDSCAPE_LARGE_16_9.jpg,published,2,,2026-04-12 19:48:32.478230,2026-04-12 19:48:32.478346
Like Ah Boss: Journey of a Soca King (Screening + Followup Q&A w/ Machel Montano),,Other,Paradise Theatre,2026-05-06 23:30:00.000000,,,Music,https://www.ticketweb.ca/event/like-ah-boss-journey-of-paradise-theatre-tickets/14807633,https://s1.ticketm.net/dam/c/f51/ee785ed6-f806-4195-98f4-69f67e09df51_106201_RETINA_PORTRAIT_16_9.jpg,published,3,,2026-04-12 19:48:32.496410,2026-04-12 19:48:32.496590
"Kes - Roots, Rock, Soca Tour","No Minors! Must be 19 & older with valid government ID to attend. KES Meet & Greet Package -One premium reserved or general admission ticket -Early entry into the venue -Exclusive meet & greet with KES -Personal photograph with KES -Custom KES corduroy hat -Specially designed KES record bag -Official meet & greet laminate & lanyard; autographed -Priority merchandise shopping -Limited availability KES VIP Tour Package -One premium reserved or general admission ticket -Early entry into the venue -Custom KES corduroy hat -Specially designed KES record bag -Commemorative VIP laminate & lanyard -Priority merchandise shopping -Limited availability If you have any questions regarding your VIP package elements, please contact info@onemoretimevip.com",Trinidad,Commodore Ballroom,2026-05-31 02:00:00.000000,,,Music,https://www.ticketmaster.ca/kes-roots-rock-soca-tour-vancouver-british-columbia-05-30-2026/event/110064457B433CE9,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,4,,2026-04-12 19:48:32.511942,2026-04-12 19:48:32.512115
"Kes - Roots, Rock, Soca Tour","DOORS:7PM SHOW:8PM This is an all ages show - everyone is welcome. NO RE-ENTRY All schedules and support bands are subject to change without notice or refund Tickets purchased from unofficial third party outlets cannot be verified by our box office. If you sell your tickets on a third party site we are not liable for any scan issue you may have. If you have an issue with a third party ticket purchase, you must contact the third party outlet directly. There is a special seating area for those with mobility limitations. We are able to accommodate up to two people per party. ADA seating is limited, so we recommend making a reservation as soon as you purchase your General Admission ticket. To make a reservation please email ACEADA@livenation.com, with the Date and Show you will be attending. We are a cashless venue. We accept Card and Mobile Pay.",Trinidad,Ace of Spades,2026-06-03 02:00:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-sacramento-california-06-02-2026/event/1C006462C8DCF32F,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,5,,2026-04-12 19:48:32.529242,2026-04-12 19:48:32.529378
"Kes - Roots, Rock, Soca Tour",OPEN DANCE FLOOR / STANDING ROOM ONLY Doors 7:00pm / Show 8:00pm,Other,The Fillmore,2026-06-04 03:00:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-san-francisco-california-06-03-2026/event/1C006462A312B671,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,6,,2026-04-12 19:48:32.545258,2026-04-12 19:48:32.545478
"Kes - Roots, Rock, Soca Tour",All Ages Welcome Doors: 7:00 PM Show: 8:00 PM *All times and supporting acts are subject to change,Antigua,The Observatory,2026-06-06 02:00:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-santa-ana-california-06-05-2026/event/09006462B3C8A2A6,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,7,,2026-04-12 19:48:32.561349,2026-04-12 19:48:32.561486
"Kes - Roots, Rock, Soca Tour","Visit thebellwetherla.com for everything you need to know before the show. Upgraded access to the Looking Glass Lounge is now available at check out: * Access to preferred, stage-adjacent, standing room viewing section on the balcony level in the Main Room * Access to the exclusive Looking Glass Lounge 30 minutes before and throughout the show * Looking Glass Lounge upgrades include a separate premier entrance to The Bellwether, private bar serving exclusive beers, liquors, specialty drinks and complimentary hors doeuvres, and private bathrooms The Bellwether is a cashless venue. Please plan accordingly. There is a delivery delay in place on this event lifting 24 hours prior to show time",Antigua,The Bellwether,2026-06-07 03:00:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-los-angeles-california-06-06-2026/event/0900645BE0305611,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,8,,2026-04-12 19:48:32.576834,2026-04-12 19:48:32.576992
"Kes - Roots, Rock, Soca Tour","All ages welcome. All persons under the age of 18 must be accompanied by a parent, guardian, or by a responsible adult 25 years of age or older who has written authorization from a parent or guardian. Doors: 7PM Show: 8PM *All times and supporting acts are subject to change",Trinidad,House of Blues San Diego,2026-06-08 02:00:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-san-diego-california-06-07-2026/event/0A00645B0AC2DCA0,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,9,,2026-04-12 19:48:32.591399,2026-04-12 19:48:32.591533
BRUNCH | Soca Brunch with Triniboi Joocie & Jah Herbert,,Other,Soul Mama Islington,2026-06-20 11:00:00.000000,,,Music,https://www.universe.com/events/brunch-soca-brunch-with-triniboi-joocie-jah-herbert-tickets-086SPZ?ref=ticketmaster,https://images.universe.com/b0c7559a-a236-4c3f-9a13-a858b896efc0/-/format/jpeg/-/scale_crop/1024x576/center/-/progressive/yes/-/inline/yes/,published,10,,2026-04-12 19:48:32.605320,2026-04-12 19:48:32.605439
"Kes - Roots, Rock, Soca Tour",,Other,Pier Six Pavilion,2026-06-27 00:00:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-baltimore-maryland-06-26-2026/event/15006462D128C085,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,11,,2026-04-12 19:48:32.619137,2026-04-12 19:48:32.619324
"Kes - Roots, Rock, Soca Tour",,Other,Forest Hills Stadium,2026-06-27 23:00:00.000000,,,Music,https://www.ticketmaster.com/event/Z7r9jZ1A7-x-O,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,12,,2026-04-12 19:48:32.633887,2026-04-12 19:48:32.634174
"Kes - Roots, Rock, Soca Tour",This event takes place rain or shine. All support acts are subject to change without notice. Door Time: 6:30pm Showtime: 7:30pm,Other,Leader Bank Pavilion,2026-07-02 23:30:00.000000,,,Music,https://www.ticketmaster.com/kes-roots-rock-soca-tour-boston-massachusetts-07-02-2026/event/01006462BD21E8C1,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,13,,2026-04-12 19:48:32.651277,2026-04-12 19:48:32.651402
"Kes - Roots, Rock, Soca Tour",This is a RAIN OR SHINE Event. DOORS: 6:00PM SHOW: 7:00PM,Other,RBC Amphitheatre,2026-07-04 23:00:00.000000,,,Music,https://www.ticketmaster.ca/kes-roots-rock-soca-tour-toronto-ontario-07-04-2026/event/100064620A9A6F48,https://s1.ticketm.net/dam/a/8e0/a242d869-10f3-4eaf-85c3-68bfc08d78e0_TABLET_LANDSCAPE_3_2.jpg,published,14,,2026-04-12 19:48:32.666978,2026-04-12 19:48:32.667296
"AFROBASHMENT (afrobeats, dancehall, hip-hop & more) KENZO | LIMO | RUBI ROUX | Patio: AUTHENTIC CRAFT","AFROBASHMENT The Bays destination for diaspora dance music. Every month we bring together the sounds that move the culture: afrobeats, dancehall, soca, amapiano, reggaeton, hip-hop, R&B, and the classics that never left the rotation.Our resident DJs curate the night so every set flows seamlessly from Lagos to Kingston to Oakland. Plus a rotating monthly patio takeover featuring guest selectors and sounds from across the diaspora. No passport required just pull up ready to move.21+Doors + Music @ 10PM",Jamaica,Crybaby,2026-04-19 05:00:00.000000,,,Music,https://www.ticketweb.com/event/afrobashment-afrobeats-dancehall-hip-hop-crybaby-tickets/14835273,https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_TABLET_LANDSCAPE_3_2.jpg,published,15,,2026-04-12 19:48:32.682839,2026-04-12 19:48:32.682966
In My Feelings : An R&B Hip-Hop Joint,Saturday April 25In My Feelings: An R&B Hip-Hop JointParty 10:00 PM21+$15 Get all in your feelings to some Hip-Hop and R&B with guys from SI Currency.,Other,B Side Lounge,2026-04-26 02:00:00.000000,,,Music,https://www.ticketweb.com/event/in-my-feelings-an-b-side-lounge-tickets/14774323,https://s1.ticketm.net/dam/c/27e/458d1b62-6e4f-4ffd-8941-9ed303d8e27e_106041_EVENT_DETAIL_PAGE_16_9.jpg,published,16,,2026-04-12 19:48:32.697591,2026-04-12 19:48:32.697708
